internal_item_id,一般管理用名称,教材表示名,品目グループ,確認ポイント,handling_safety,safety_note,selection_status,表示順
I018,生ごみ,生ごみ,可燃系,水切り／地域限定回収,MOCK_ONLY,写真・模型を使用し実物の食品残渣は扱わない,CONFIRMED_V1,18
I019,使用済みティッシュ,ティッシュ,可燃系,汚れた紙の扱い,MOCK_ONLY,未使用の紙を見本化し使用済み実物は扱わない,CONFIRMED_V1,19
I020,紙おむつ,おむつ,可燃系,汚物除去／衛生,MOCK_ONLY,未使用品または写真・模型のみ使用,CONFIRMED_V1,20
I021,衣類,服,布類,洗濯済み／濡れ・破れ／素材,SAFE_REAL,洗濯・乾燥済みで清潔な物を使用,CONFIRMED_V1,21
I022,傘,傘,不燃・粗大系,長さ／金属と布／袋に入るか,TEACHER_ONLY,先端を保護し教師が提示・管理,CONFIRMED_V1,22
I023,陶磁器,茶わん,不燃系,割れ・サイズ,TEACHER_ONLY,欠けや割れのない物を教師が提示・管理,CONFIRMED_V1,23
I024,ガラス製品,コップ,不燃系,びんとの違い／割れ,TEACHER_ONLY,割れていない物を教師が提示・管理,CONFIRMED_V1,24
I025,割れたガラス,割れたガラス,危険物,包む・表示／区分,MOCK_ONLY,写真または安全な樹脂製模型のみ使用,CONFIRMED_V1,25
I026,包丁・刃物,包丁,危険物,刃の保護／表示／区分,MOCK_ONLY,写真または刃のない模型のみ使用,CONFIRMED_V1,26
I027,乾電池,乾電池,電池類,絶縁／種類／回収箱,TEACHER_ONLY,液漏れのない使用済み電池を絶縁し教師が管理,CONFIRMED_V1,27
I028,ボタン電池,ボタン電池,電池類,絶縁／店頭回収／誤飲,MOCK_ONLY,誤飲防止のため写真または大型模型のみ使用,CONFIRMED_V1,28
I029,モバイルバッテリー,モバイルバッテリー,電池類,充電池／破損・膨張／拠点回収,MOCK_ONLY,発火リスクがあるため実物を教材にしない,CONFIRMED_V1,29
I030,蛍光管,蛍光灯,有害ごみ,破損防止／箱／回収区分,MOCK_ONLY,破損・水銀リスクのため写真または模型のみ使用,CONFIRMED_V1,30
I031,電球,電球,有害・不燃系,LEDか／蛍光型か／割れ,MOCK_ONLY,破損防止のため写真または樹脂模型のみ使用,CONFIRMED_V1,31
I032,スプレー缶,スプレー缶,危険物,使い切る／穴あけ有無／別袋,MOCK_ONLY,残圧確認が困難なため実物を教材にしない,CONFIRMED_V1,32
I033,使い捨てライター,ライター,危険物,使い切る／材質／回収箱,MOCK_ONLY,燃料・着火リスクのため写真または模型のみ使用,CONFIRMED_V1,33
I034,小型家電,小型家電,小型家電,電池を外す／サイズ／拠点回収,TEACHER_ONLY,電池を抜き破損のない物を教師が管理,CONFIRMED_V1,34
I035,充電池を外せない小型家電,電池が外せない家電,小型家電,発火表示／別袋／拠点回収,MOCK_ONLY,内蔵電池の状態を確認できないため写真または模型のみ使用,CONFIRMED_V1,35
I036,布団,布団,粗大・可燃系,袋に入るか／切断／結束,SAFE_REAL,小型の清潔な見本布または写真でも可,CONFIRMED_V1,36
I037,家電4品目,テレビなど,法定リサイクル,自治体収集外／販売店回収,MOCK_ONLY,写真カードで扱い大型実物は持ち込まない,CONFIRMED_V1,37
I038,家庭用パソコン,パソコン,法定・メーカー回収,自治体収集外／小型家電回収との違い,MOCK_ONLY,写真カードまたは廃棄予定でない機器の提示のみ,CONFIRMED_V1,38
I039,使用済み食用油,食用油,拠点回収,固める・染み込ませる・回収拠点,MOCK_ONLY,液漏れ防止のため実油は扱わず写真・空容器を使用,CONFIRMED_V1,39
I040,剪定枝,木の枝,可燃・資源化,太さ・長さ／結束／搬入,TEACHER_ONLY,とげ・ささくれのない短い見本を教師が管理,CONFIRMED_V1,40
